provide a forum for@R@	provide the opportunity for@R@
be changed by@R@	keep change
look kind of	be a kind of
find to	to
watch out for@R@	find for@R@
want to pay@R@	be charged@R@
be invited by@R@	scream for
run by@R@	have by@R@
clip@R@	cut down on@R@
find one of	enjoy some of
have information about@R@	include information about@R@
meet@R@	be met by
do be	didnt
choose to go to@R@	try to go to@R@
disable	modify
have something like@R@	do something like@R@
have a wide variety of	have a wide selection of
experience with@R@	go through with@R@
rush to	creep to
ask with	answer with
tour with@R@	show up with@R@
be provided as@R@	be designed as@R@
be supplied with@R@	arrive with@R@
elude	amaze
be set for@R@	be held for@R@
build@R@	be created by
be passed by	pass@R@
be required by@R@	necessitate
mimic	imitate
vary from@R@	accord to@R@
have available for	have for
discuss about@R@	sing about@R@
involve in	require in
get bored of	get sick of
need be@R@	choose be@R@
address in	be covered by@R@
believe in@R@	dont believe in@R@
represent to@R@	explain to@R@
frown at	glare at
be revealed to	be passed to
generate for@R@	raise for@R@
marry@R@	be married to@R@
happen on	find on
be mentioned on@R@	be recorded on@R@
be paid@R@	be paid in@R@
be sure to	refuse to
be perceived as@R@	be considered to be@R@
be the seat of	be the home of
argue about	speak about
be good to see@R@	be to meet@R@
stun	be disappointed in@R@
make a commitment to@R@	be devoted to@R@
profit from@R@	benefit from@R@
be the area of@R@	be an area of@R@
be to play	be to put
originate from	get up from
be more interesting than@R@	be more powerful than@R@
last up to	continue to take
think about do	get to do
end with	conclude with
make sense for@R@	be acceptable for@R@
need help with	enlist the help of
phone	call up
be done	be done with
figure out@R@	calculate@R@
live up to	adapt to
be preceded by@R@	take precedence over
jump in	come in
back from	step from
contain information about@R@	provide information about@R@
trouble@R@	be disturbed by
plan to visit	like to visit
spread across	go into
return as	appear as
suggest in@R@	describe in@R@
mean a lot of	bring a lot of
hike to@R@	be moved by
didnt want	for
find out about@R@	think about@R@
start collect	gather
be to be in	be to be found in
be provided as@R@	be intended to be@R@
be remembered as@R@	be recognized as@R@
occupy in	want in
be appropriate in	be acceptable in
converse with	interfere with
be recognised by@R@	remember
be a series of@R@	be a couple of@R@
shorten	bring down
see plenty of	see lot of
be taken as	be taken in
be to improve	be the development of
be most common in@R@	be prevalent in@R@
love to play with@R@	play with@R@
hold in	in
motivate	be motivated by@R@
be located at	be located of
be expected from@R@	be expected of@R@
save on	find on
be resolved in	be outlined in
dance to@R@	kick@R@
last up to@R@	take up to@R@
be mentioned by@R@	quote
begin to take	want to take
be the first day of@R@	be the first time in@R@
be awarded for	be valid for
be known@R@	be known as@R@
recognise@R@	recognize@R@
be explored in@R@	be reviewed in@R@
rescue	be rescued by@R@
pose to	show to
generate@R@	deliver@R@
be mindful of@R@	be aware of@R@
win at	have at
ride for	for
be prepared to	plan to
become active in	be active in
didnt@R@	sort of@R@
fly to	escape to
be opposed to@R@	defend@R@
gain control of	regain control of
be founded by	build@R@
wake to@R@	awake to@R@
read of@R@	see of@R@
persuade@R@	sway@R@
look from	appear from
mean a lot of	give a lot of
be fitted with	be decorated with
hand over@R@	be by
refer to in@R@	tell in@R@
cause of	be the cause of
seep into	fall into
make some of	of
improve	hone
uninstall	be installed by@R@
suffer from	die of
receive in@R@	suffer in@R@
round up	blow up
don like	do like
know some of@R@	see some of@R@
secure@R@	insure@R@
mean more than	be more interesting than
be inserted into@R@	be placed into@R@
be meant for	be written for
be a firm believer in	think about
love do	end up do
be visited by@R@	be seen by@R@
be special for@R@	be exciting for@R@
annoy@R@	bother@R@
cause to@R@	cause damage to@R@
be a great time for@R@	be a great day for@R@
love read	try to read
spend more time with	be home with
govern	decide in
be run in	be conducted in
occur for	manage for
help provide	be provided by@R@
be reliant on	be dependant on
pick up from@R@	from@R@
act as@R@	use as@R@
be acquainted with	become acquainted with
decrease in@R@	be small in@R@
be chock full of	be packed with
be accessed by	be by
join in@R@	put up@R@
be covered with	be covered in
prefer to	manage to
be responsible for@R@	take responsibility for@R@
scale@R@	move up@R@
look past	look down at
be elected by	be determined by
be ordered from	be drawn from
apply at	keep at
combat@R@	defend@R@
start to have	continue to have
fit in with	be a good fit for
lose all of	spend all of
please keep@R@	be kept by
transform	change
be binding on	bind
throw at@R@	be shot by
be shaped like@R@	be nothing like@R@
work in@R@	play out in@R@
decide to change@R@	change@R@
slip on	slip off
want to follow	try to understand
be targeted by	point out@R@
worry for	be concerned for
be listed as	be considered to be
mean more than@R@	be more powerful than@R@
get a glimpse of@R@	catch a glimpse of@R@
lock in@R@	attach@R@
be granted by	award@R@
sift through	be separated by@R@
be murdered by	torment@R@
be borne by@R@	deliver
have something of	have a bit of
be geared to	be written for
caress@R@	tickle@R@
wait till	return on
find a job in@R@	move within@R@
try to buy@R@	buy@R@
report in@R@	in@R@
remain@R@	continue@R@
decide to get	try to get
wander through@R@	grow through@R@
be installed by	be set up by
try to protect@R@	like to keep@R@
be nice of@R@	be to see@R@
please tell	repeat
grow as@R@	develop as@R@
state	point out
step out of@R@	walk out@R@
pay special attention to@R@	attend to@R@
fit	resemble
play a significant role in	be a factor in
dissolve	disappear
add for@R@	for@R@
be better at	be a sucker for
be single in@R@	find a job in@R@
have a bit of	have a little bit of
be out on	be out for
log@R@	tape@R@
be improve@R@	help@R@
write be@R@	read be@R@
train as@R@	be trained for@R@
move out of	step of
be referred by	refer@R@
be passed through	be accomplished through
manage to keep	be kept by@R@
float on@R@	go out on@R@
be the theme of	be the idea of
wave	move
collect on@R@	agree on@R@
make a trip to@R@	plan a trip to@R@
be a time for@R@	be time for@R@
want to stay in@R@	work out in@R@
make full use of@R@	start to use@R@
be different to@R@	differ from@R@
be born in@R@	die on@R@
use to@R@	choose to@R@
happen between@R@	lie between@R@
spend more on	on
compete for	manage for
mature@R@	porn@R@
state on	say on
put an end to	cease
continue through@R@	run through@R@
morph into@R@	transform into@R@
be cheaper than@R@	be younger than@R@
learn something from	from
be a big part of@R@	be a large part of@R@
be received in	be in
forget to@R@	try to@R@
know most of	know some of
win with@R@	be successful in@R@
be done via	be via
be a mixture of	be a type of
be a good fit for	match with
be up for@R@	be for@R@
use as	use this as
be give	be to get
be some kind of	be a sort of
catch up with	catch up to
plan for@R@	be designed by
go on about@R@	come about@R@
appear as@R@	on@R@
win be	work be
cut out	give out
get caught in@R@	be caught in@R@
spring@R@	jump off@R@
see lot of@R@	find lot of@R@
have something of@R@	get a bit of@R@
quit	halt
do research on@R@	do some research on@R@
be home with@R@	spend more time with@R@
learn during	see during
be made of@R@	be comprised of@R@
radiate@R@	let out@R@
break on@R@	crash on@R@
hold for@R@	have for@R@
report on@R@	state on@R@
flow to	drop by
be refused@R@	be denied@R@
have a great deal of	have a wealth of
be a different kind of	be a mixture of
combine with	be combined with
make out of	be composed of
culminate in@R@	close in@R@
bind	tie up
be unable to@R@	manage to@R@
offer some of@R@	hear some of@R@
parse@R@	sift@R@
start see@R@	start to see@R@
be the same kind of	be my kind of
brighten@R@	lighten@R@
designate@R@	be assigned by
go over@R@	fly over@R@
go up in@R@	rise in@R@
be covered under	come under
make full use of@R@	make good use of@R@
be some sort of	be a mix of
be accustomed to	get used to
die without	go without
be caught	get caught in
choose be	take be
be pulled from@R@	seem out of@R@
dissolve in	combine with
inherit from@R@	from@R@
be developed with	be created use
match@R@	agree@R@
don see@R@	dont understand@R@
be targeted by	place@R@
form in@R@	originate in@R@
pass between	exist between
be established as@R@	be deemed@R@
continue to use@R@	make extensive use of@R@
leave to	allow to
be a good fit for	be a perfect fit for
be provided to	be offered to
exchange	shift
boost@R@	spur@R@
drive on@R@	go out on@R@
choke	drown
give a lot of@R@	produce a lot of@R@
irritate@R@	be bothered by
defend@R@	oppose@R@
be taken on	be taken for
hasten	speed
be held@R@	be scheduled for@R@
roll on@R@	roll@R@
be critical of	knock out
phone	call in
work better for@R@	do the work for@R@
reduce@R@	help to reduce@R@
pop into@R@	sound in@R@
like more information on@R@	say about@R@
be integrated with	be incorporated into
shave	take down
ascend	come up
be central to@R@	be crucial to@R@
freeze in@R@	be frozen in@R@
be the most common form of	be another form of
be made available on@R@	be available by@R@
do a search for	look for
stop play	be played by@R@
be changed by	customize@R@
be received in	be provided in
be ready to start@R@	want to have@R@
find in@R@	find out in@R@
be launched in	be released on
mean a lot to	mean more to
enter on	come on
hit on	come through
be decorated with@R@	be furnished with@R@
drive through	spread through
choose to take	take about
voice	invent
move towards@R@	move@R@
begin from	depart from
be a mystery to	be unknown to
correspond to@R@	compare to@R@
add a link to	pertain to
span	run over
bring to	like to
pick up on@R@	be reached by
follow on@R@	get on@R@
be broken into@R@	be divided into@R@
take with@R@	learn with@R@
glance over at@R@	look up at@R@
endanger@R@	compromise on@R@
entrust@R@	don need@R@
feel the need for	need some kind of
overpower	have over
note on	state on
zip	hurry
pay@R@	pay to@R@
spend the majority of@R@	have all of@R@
be lost	be in
live as	go as
remark to@R@	comment to@R@
need to bring	want to include
stay on@R@	rest on@R@
begin to take	start take
shorten@R@	reduce@R@
be attacked by@R@	occupy
rip off@R@	shoot@R@
wait at@R@	take at@R@
be thrown out of@R@	be kicked out of@R@
transform	alter
be a fellow of	become a member of
be decorated with@R@	be supplied with@R@
use a number of	be recommended to use
please help@R@	be told by
be embraced by@R@	cover
negotiate with@R@	share with@R@
find link to@R@	connect to@R@
be aimed at	be targeted at
look kind of@R@	be a kind of@R@
act as@R@	for@R@
recruit for@R@	enroll@R@
be to be@R@	be proud to be@R@
number	add up
reconcile	correct
be recognised by@R@	realize
decide on@R@	drop on@R@
get to go to@R@	start go to@R@
strike@R@	clash with@R@
report in	express in
cause of	cause
become more aware of@R@	be conscious of@R@
address in@R@	cover in@R@
progress to@R@	travel to@R@
be categorized as@R@	be treated as@R@
get the benefit of	from
execute	be performed by@R@
be sorry about@R@	apologise for@R@
decide to	want to
include link to@R@	include a link to@R@
start at	take place at
be added for	be added in
need to consider@R@	look up@R@
let@R@	tolerate@R@
be like@R@	be like have@R@
be stored on@R@	be downloaded to@R@
sell out@R@	close in on@R@
come from	descend from
be important to keep@R@	be to have@R@
generate in	produce in
stop be@R@	live be@R@
work toward@R@	go to work on@R@
take with@R@	bring with@R@
be arranged in	be broken down into
win in@R@	win@R@
start work at@R@	at@R@
enlighten@R@	fire up@R@
launch on	start out on
take at@R@	learn at@R@
earn from@R@	get the benefit of@R@
be the leader in	be a leader in
be stunned by	shock@R@
be designed to be	be created as
find any of@R@	get any of@R@
be considered one of@R@	remain one of@R@
be scheduled for	be scheduled on
act in@R@	behave in@R@
know as	have as
spell out@R@	begin write@R@
be natural for	be acceptable for
be recognised by@R@	realise
be a great source of@R@	be a good source of@R@
encounter in	find in
be to improve	be to build
flow to@R@	fall@R@
be a great tool for	be a great way for
serve	provide information to
make sense to@R@	be meaningful to@R@
examine@R@	inspect@R@
see lot of@R@	watch a lot of@R@
be the recipient of@R@	be to receive@R@
be done	be done in
change	be changed by@R@
continue to support@R@	support for@R@
flow to@R@	flow through@R@
move down	come down
examine	compare
suffer@R@	stand up@R@
be appointed as@R@	be appointed@R@
give in	have in
crack	snap
be experienced in	be specialized in
express interest in@R@	be interested in@R@
be expected to@R@	be needed to@R@
remember have	know have
be a waste of	be fed by@R@
be to improve	be to have
be demonstrated in@R@	be indicated in@R@
please keep@R@	keep@R@
please fill in@R@	please use@R@
visit for	hear for
carry a full line of@R@	have a choice of@R@
be rescued by	rescue@R@
see a list of	list
want be for	for
enclose@R@	administer@R@
expect at	have at
know most of	see some of
be the idea of@R@	be the theme of@R@
boost	raise
live outside of	go outside
be dictated by@R@	be ordered by@R@
read on	read up on
be true with@R@	be true of@R@
make up of@R@	be constructed of@R@
spend all of	put all of
visit in	tour
make as@R@	develop as@R@
visit in	tour in
be suited for	be ideal for
educate@R@	be driven by
be easier than	be better than
expire in	fall in
tax	take in
be elected by@R@	be by@R@
be launched in	be released in
be described in	be answered in
take some of	make some of
accept@R@	take on@R@
fly from@R@	flee to@R@
be the star of	perform in
have plan for	plan to get
deem	be regarded by@R@
occur@R@	go on about@R@
be served on	be served at
be larger than@R@	be less than@R@
be bound by	bind@R@
be explored in@R@	be documented in@R@
help find@R@	be found by
proceed in	come in
encourage the use of@R@	make extensive use of@R@
amass@R@	store@R@
start to make@R@	keep make@R@
go in for@R@	go for@R@
die at@R@	have at@R@
be set up in@R@	be put in@R@
reap the benefit of	gain from
need to buy@R@	need to purchase@R@
stand to	run to
top	exceed
freeze@R@	suspend@R@
stay for	stay
learn as@R@	choose as@R@
stitch@R@	sew@R@
want to put@R@	want to set@R@
please send	please post
head down to	be off to
try do	start do
have a passion for@R@	learn to love@R@
introduce student to	provide an introduction to
be most common in@R@	be common in@R@
walk behind	sit behind
enrol at@R@	teach at@R@
need to go	want to go to
take some of	get some of
develop an interest in	express interest in
minimize	take down
go be@R@	have be@R@
serve the need of@R@	act with@R@
secure	be guaranteed by@R@
declare in	let in
cook for@R@	have for@R@
spread through	rush through
speed@R@	expedite@R@
be made up of	make up of
be describe	name
look from@R@	grow from@R@
raise for@R@	have for@R@
live as	come as
offer a wide variety of@R@	have a range of@R@
be ready to start@R@	need to start@R@
lose control of	have control of
take all of@R@	put all of@R@
stop@R@	terminate@R@
last for	have for
be due for	be planned for
form in@R@	go on in@R@
be an excellent choice for	be a good option for
be born of@R@	be born out of@R@
include a lot of@R@	cover a lot of@R@
like to get@R@	need to get@R@
fabricate@R@	construct@R@
transmit to	send message to
fail in	break out in
be drawn in	be in
fit with@R@	match with@R@
be threatened with@R@	be saved from@R@
be spread over	have over
see lot of@R@	find a variety of@R@
be prepared to	to
savor@R@	enjoy@R@
run over to@R@	to@R@
be elected by@R@	appoint
weigh in@R@	add in@R@
start talk to@R@	talk to@R@
modify	be restricted by@R@
matter	appear
have dinner with@R@	have lunch with@R@
tug at	take in
state@R@	say@R@
linger in	stay in
put an end to	terminate
contain in	have no bearing on
be hired as	work as
be ready to	like to
console	soothe
be rooted in@R@	be grounded in@R@
be read by	read@R@
be issued for@R@	be allowed for@R@
be descended from@R@	come in from@R@
create opportunity for@R@	provide the opportunity for@R@
love make@R@	enjoy make@R@
reduce@R@	shorten@R@
comprehend	perceive
need to look at	take a look at
receive from@R@	feel from@R@
be required to take@R@	be required to have@R@
be disappointed with	be disappointed in
be sent via	be done via
look across@R@	hang around@R@
treasure@R@	adore@R@
teach for	be dead for
offer a selection of@R@	have a wide range of@R@
restructure@R@	revise@R@
originate@R@	come out@R@
be distinct from	be distinguished from
give all of@R@	think all of@R@
follow on@R@	on@R@
keep	maintain
reveal to@R@	confide to@R@
be fed by	exhaust@R@
see this as@R@	consider as@R@
sit down for	establish for
need@R@	entail@R@
be born at@R@	die on@R@
want to increase@R@	see an increase in@R@
listen in@R@	stare in@R@
expand into@R@	extend into@R@
unplug@R@	tear down@R@
be explained in@R@	be discussed in@R@
require more than	do more than
be an aspect of	be an act of
love all of	have all of
be taken for@R@	be in@R@
pour in@R@	rain@R@
be endorsed by	be supported by
experience with@R@	feel with@R@
be signed to	sign
slip into	go into
spread to	to
engage with@R@	enforce@R@
catch in@R@	catch up in@R@
lose	leave
believe for@R@	think for@R@
be suited to@R@	be intended for@R@
alter	transform
punch	get hit by@R@
follow with	enjoy with
sound to@R@	sound like@R@
end with	settle with
come look for	go to look for
vanish from@R@	pass from@R@
continue@R@	on@R@
be disappointed with	be disappointed by
be my kind of@R@	be a combination of@R@
have no control over@R@	help control@R@
reward	honor
criticise	knock out
moderate@R@	be chair of@R@
reap the benefit of	from
hear the sound of@R@	hear the voice of@R@
begin to get	seem to get
get any of	make one of
speak for@R@	talk for@R@
be both on	be been on
be held by	be maintained by
help@R@	benefit@R@
fall within	stay within
give a damn about@R@	give a shit about@R@
be hit with@R@	come through
aid@R@	perfect@R@
be author of@R@	author@R@
withdraw from	recall
be resident in@R@	be a resident of@R@
like about@R@	blog@R@
afford to buy@R@	need to buy@R@
hold for@R@	for@R@
lock	lock up
feel sorry for	feel for
didnt@R@	wont@R@
claim for	fill up
compose	begin write
need for	include for
start to use@R@	recommend the use of@R@
restrict	be restricted by@R@
enlarge@R@	expand@R@
be added@R@	be added for@R@
be sent in	be prepared in
head for	go out for
continue to support	support
prefer for@R@	decide for@R@
run across@R@	go across@R@
begin work with@R@	enjoy play with@R@
be asked to do@R@	end up do@R@
want to remove	need to move
be ready to do@R@	start to do@R@
clear up	be guaranteed by@R@
widen	prolong
provide link to	find link to
print on@R@	print@R@
please join	join in
remark to	mention to
train as@R@	be experienced@R@
move like@R@	dress like@R@
comment@R@	say@R@
remain with	have on
be out of@R@	be taken out of@R@
have something for	be fun for
see in@R@	witness in@R@
be based out of	be for
seem to work for@R@	do the work for@R@
post a link to@R@	find a link to@R@
be a great opportunity for	be a great time for
provide information for	be a resource for
heal@R@	mend@R@
fall out of	drop out of
be confident of@R@	have confidence in@R@
be invited to join	be invited to
be scheduled for	be scheduled in
come around	go around
be obtained in@R@	be issued in@R@
paint	paint on
be produced from	extract from
be experienced in@R@	be an expert in@R@
use to	decide to
put together	have a collection of
congratulate@R@	be greeted by
approve of@R@	be evaluated by
welcome to	be welcome in
baffle@R@	be amazed by
be cold in@R@	freeze in@R@
be restricted by@R@	restrict
be hooked up to@R@	hook@R@
be employed by@R@	engage
be thrilled with@R@	be happy with@R@
be delivered in@R@	be in@R@
be a response to@R@	be responsive to@R@
play like	take on
alleviate@R@	help relieve@R@
split into	be grouped into
conform to@R@	live up to@R@
begin to feel@R@	experience@R@
have a soft spot for@R@	have a thing for@R@
grow up in@R@	be brought up in@R@
play a major role in	play a significant role in
be solved by@R@	solve
have a wide selection of	have a variety of
be granted for@R@	be given for@R@
be introduced into@R@	be introduced in@R@
store@R@	amass@R@
do to help@R@	need to improve@R@
receive in	encounter in
leave from@R@	depart from@R@
lose out on@R@	make on@R@
want to run@R@	need to run@R@
be submitted by	find@R@
help out with@R@	help out@R@
be member of	be a member of
love to play@R@	enjoy play@R@
construct@R@	be created by
dont see@R@	dont understand@R@
like to create@R@	need to write@R@
have something for@R@	be fun for@R@
run by@R@	live by@R@
want to think about	take a look at
check for	look out for
familiarize@R@	impose@R@
hurt for@R@	yearn for@R@
be done on	be conducted on
be found@R@	be found at@R@
be called by	call up@R@
give thanks for@R@	be grateful to@R@
graduate from@R@	be a graduate of@R@
please hesitate to contact	email
tease@R@	harass@R@
have a conversation with	interact with
try at	at
have nothing in	in
smooth	be selected by@R@
find any of	have some of
expand on@R@	distinguish@R@
read for	learn for
fade into@R@	pass into@R@
give@R@	be by
push to	swim to
say unto@R@	come unto@R@
gravitate to	come to
begin@R@	think of@R@
be the last of	be a of
accept for@R@	show for@R@
be conducted at	be seen at
be manufactured by@R@	be created by@R@
be caught up in	get in
come to find@R@	like to visit@R@
try at	hear at
outweigh	beat out
be a disgrace to	be a disaster for
love go to	get to go to
work fine in	be fine in
demonstrate to@R@	show to@R@
live as	operate as
lose out on	lack
take about	take
be scheduled for@R@	be held from@R@
profit from@R@	have the benefit of@R@
experience with@R@	with@R@
be time for@R@	be a time of@R@
take place over@R@	come over@R@
be permitted in@R@	be allowed into@R@
be unique to@R@	be specific to@R@
strive to make	try to make
be obtained from@R@	be from@R@
give at@R@	be present at@R@
have the choice of@R@	have a selection of@R@
teem with	be loaded with
comply with	conform to
be invited to	be encouraged to participate in
occur during@R@	happen during@R@
be done	be done by
be the creation of	be the world of
give at@R@	at@R@
cover a wide range of@R@	go off in@R@
sign for@R@	be signed by
be geared to	be targeted at
live at@R@	have at@R@
matter	count for
dissect	analyse
be a problem in@R@	be the case in@R@
work great for@R@	work for@R@
be alive in	be in
point	head
serve at@R@	die at@R@
fire on	shoot
publicize@R@	redistribute@R@
examine@R@	sift@R@
impact@R@	have a profound impact on@R@
continue to do	plan on do
need to change@R@	change the name of@R@
be presented as@R@	be designed to be@R@
be deprived of@R@	be refused@R@
stay to	stand to
overwhelm	get over
be overcome by	overtake@R@
include all of	have all of
be less of	be a of
strive to make	attempt to make
remain on	for
get between@R@	sit between@R@
be motivated by	motivate@R@
be surprised to find@R@	be to find@R@
understand the meaning of	mean to
occur between	lie between
get between@R@	move between@R@
net@R@	come in@R@
be asked@R@	need to enter@R@
stare in	look in
come in from	hail from
stand out from@R@	stand out@R@
study for@R@	carry for@R@
flip through@R@	fling@R@
be illegal for@R@	be normal for@R@
refer in@R@	refer to in@R@
love read	enjoy read
be discharged from	be released from
have during@R@	use during@R@
add a lot of@R@	bring a lot of@R@
learn all about@R@	find out about@R@
like to thank	be grateful to
originate from@R@	arise from@R@
have problem with@R@	have with@R@
create for@R@	produce for@R@
take an interest in	have a special interest in
apply in@R@	practice in@R@
be to become	be become
be positive for	be screened for
tease@R@	taunt@R@
be targeted for@R@	be written for@R@
be involved in@R@	need in@R@
move for@R@	hold out for@R@
be liable for@R@	be accountable for@R@
go shop for@R@	go in for@R@
be elected by	select@R@
be given at@R@	be displayed at@R@
travel to@R@	build up to@R@
reinforce@R@	be honored by
make do with	don want
be hired as@R@	on@R@
provide access to@R@	have access to@R@
need to become@R@	want to be@R@
be released in	on
be great in	be perfect in
be the sum of@R@	be the amount of@R@
wait at	at
nod at@R@	wink at@R@
get on with	have with
visit for	read for
tend to get@R@	seem to get@R@
be one for@R@	be for@R@
see on	see this on
be exported to@R@	be sold in@R@
be way to	be a mixture of
mean more to	mean the world to
be targeted for	be aimed at
hone	improve
look better than@R@	do than@R@
be released to@R@	be to@R@
know nothing about	have knowledge of
pose a threat to	threaten
talk of@R@	tell of@R@
have a large selection of@R@	have a choice of@R@
feel after	pass away
be grown in@R@	be planted in@R@
be remembered for@R@	be famous for@R@
look a lot like@R@	be a lover of@R@
be the story of@R@	be the history of@R@
be practiced in	become popular in
put a lot of	make lot of
make with	with
provide a range of	have a range of
be granted by	stick@R@
fail on	die on
manage to keep@R@	be kept by
specialize@R@	differentiate@R@
shut off	produce
know more about@R@	know about@R@
linger in	remain in
claim	bill
have access to@R@	reach@R@
lurk in@R@	hide in@R@
decide to change	customize
travel all over	fly around
accumulate	collect
file@R@	register@R@
be the first time in	be the first part of
last for	go on for
confiscate@R@	be taken over by
have symptom of	die from
be answered in	be described in
dissolve@R@	pass away@R@
try do	get to do
form in@R@	rise in@R@
happen on	pass on
form in@R@	roll in@R@
be grouped by@R@	sort
take to@R@	to@R@
be distinct from	be mistaken for
diminish	mitigate
go down with@R@	come down with@R@
search by@R@	ask on@R@
be significant for	be essential for
take all of@R@	love all of@R@
file for	be registered for
be a major cause of	add a lot of
head toward@R@	be headed for@R@
accede to@R@	consent to@R@
live from@R@	remember from@R@
have a positive effect on@R@	impact on@R@
be done use	be possible to use
get paid	be paid in
embark on@R@	start out on@R@
try to call@R@	need to call@R@
be ready to	plan to
digest@R@	resist@R@
say after	continue after
begin at@R@	take place at@R@
try to control@R@	have control of@R@
cut into@R@	be ignored by
announce in@R@	say in@R@
need to contact	try to contact
sign to@R@	sign with@R@
be loved by@R@	be enjoyed by@R@
get a hold of	get hold of
crave	desire for
set out in@R@	outline in@R@
require from@R@	pull from@R@
calm@R@	soothe@R@
pick out@R@	get out@R@
be sure to	be happy to
be to improve	be to bring
be another one of@R@	be one of@R@
be found for@R@	be set@R@
decide to take@R@	take less than@R@
sail to@R@	sail on@R@
be stronger than@R@	be cheaper than@R@
squeeze@R@	hug@R@
apply for@R@	qualify for@R@
provide a range of	provide a variety of
go to for	go in for
continue through	fly through
exist between	run between
be scheduled on@R@	be for@R@
begin on	start out on
term	qualify
take a number of	make a couple of
need to put	need to set
have time to	aspire to
get to hear	get to know
be designed to protect@R@	be to save@R@
say as@R@	state@R@
pay a visit to	like to visit
be submitted in	be supplied in
ask to@R@	manage to@R@
please go to@R@	delight@R@
need to buy	need to purchase
weigh in@R@	factor in@R@
have any interest in@R@	lose interest in@R@
boil	prepare
carry on@R@	carry on with@R@
be backed by	back@R@
find about@R@	need about@R@
reflect upon@R@	on@R@
be allowed on	be allowed in
be experienced in@R@	have expertise in@R@
act in@R@	perform in@R@
get sick of@R@	get tired of@R@
be exported to@R@	be imported from@R@
love all of	know all of
treat	talk about
have the power of@R@	do more than@R@
remain for@R@	stick for@R@
be a product of	result in
die without	happen without
pass between	happen between
be displayed for	be published for
enjoy play@R@	love to play@R@
administer@R@	be administered by
be charged on@R@	be credited to@R@
sail	sail from
pay close attention to	be attentive to
be more important than	be more expensive than
have photo of@R@	have a photo of@R@
give off	give out
be bound by@R@	tie up
be lower in@R@	be low in@R@
rise above	rise
knit	fold
be lined with	be covered by
get involved in	get involved with
try to buy	be bought by@R@
win in@R@	succeed in@R@
try to stop	put a stop to
double	reprint
lose at@R@	play at@R@
be found guilty of	plead guilty to
employ	implement
be slated for@R@	be held for@R@
make a couple of	see a couple of
find a link to	connect to
require from@R@	need from@R@
be geared toward@R@	be aimed at@R@
be integrated into@R@	be integrated with@R@
be built from	be comprised of
chase@R@	tag@R@
empathize with@R@	go through with@R@
enjoy the benefit of@R@	profit from@R@
be grounded in	be founded on
encounter on@R@	agree on@R@
be opened to@R@	be opened for@R@
turn@R@	be produced by
figure out	calculate
be kept to	be kept at
be killed on@R@	die on@R@
punch	hit
unfold@R@	broaden@R@
be the nature of	be the creator of
supply to@R@	add@R@
limit	define
happen around@R@	go around@R@
work fine in@R@	work fine on@R@
be up@R@	be left to@R@
compromise	be affected by@R@
be susceptible to@R@	be vulnerable to@R@
give at	have at
need about	like about
demand for	require for
go from@R@	range from@R@
head out for@R@	go in for@R@
declare to	swear to
need to set	want to put
be free on@R@	be free for@R@
begin work with@R@	enjoy work with@R@
be most interested in@R@	take an interest in@R@
stand as	remain as
succeed at	buy at
install on@R@	be installed on@R@
provide at	have at
be most important to	be crucial to
talk in	speak in
need to maintain	need to have
get	get to get
see the need for	need some kind of
decide to move to@R@	travel to@R@
be leader in	be the leader in
begin with	start off with
be updated	be produced
be explained in@R@	be answered in@R@
arrive by	come by
take	begin take
be asked to do@R@	be gonna do@R@
be some kind of@R@	be sort of@R@
wind up with@R@	come up with@R@
surf@R@	browse@R@
be held by@R@	hold down
hope to@R@	manage to@R@
be expected to be	be considered to be
consider get@R@	think about buy@R@
be done via	be sent via
be processed in	be received in
expel	discharge
look over to@R@	look to@R@
finish up	please use
set for@R@	be set up for@R@
announce	be announced in@R@
be the first part of	be the start of
testify to@R@	be witness to@R@
be evaluated in	be documented in
move	travel
cure	repair
provide a list of@R@	find a list of@R@
be born on	be born into
set out on@R@	be put on@R@
travel all over	travel around
indulge	pamper
be claimed by@R@	charge for
be assigned by	assign@R@
want to know about	like to know
take around@R@	continue to take@R@
be set at@R@	be to@R@
be the opinion of	be the view of
be caught up in@R@	take in@R@
offer a selection of	have a selection of
incorporate	be formed by@R@
dampen	weaken
inject	be administered by@R@
be less than@R@	be lower than@R@
license@R@	pass by@R@
avoid use	make extensive use of
nod at	wink at
cook for@R@	for@R@
be rewarded with@R@	be treated to@R@
grill@R@	roast@R@
have control of@R@	have control over@R@
range from@R@	take place from@R@
give a lot of@R@	create a lot of@R@
be the first of@R@	be the first in@R@
be located	be located between
show up on@R@	on@R@
be murdered by	dispatch@R@
hit on	score on
be accessible from@R@	have easy access to@R@
reach on@R@	pass on@R@
be invited to attend	be unable to attend
be known by	know@R@
believe for	keep for
turn into	evolve into
collapse@R@	avoid@R@
be a place for@R@	be a great place for@R@
like to use@R@	make use of@R@
operate	be directed by@R@
decide to buy@R@	buy out@R@
slip@R@	slide@R@
be classified as	be described as
be supported by@R@	support
meet with@R@	fulfil@R@
dampen	curb
fabricate	create
overwhelm	overtake
love to see	love see
perform in@R@	behave in@R@
be posted for@R@	be published for@R@
want to marry	want to be with
roll out@R@	go down in@R@
restructure@R@	amend@R@
arrest@R@	halt@R@
be a place for@R@	be a good place for@R@
cover with@R@	be covered in@R@
present to	submit to
steal from	remove from
become accustomed to	get used to
be a student of	graduate from
consume@R@	be a waste of@R@
